KEY	Population.x	name.x	Parent.x	Count.x	ParentCount.x	METRIC.x	GATE.x	QC.x	Panel.x	PDF.x	FlaggedSample.x	MACHINE.x	RealAutoParent.x	Manual.x	Merge.x	freq_lymph.x	freqParent.x	freq_PBMC.x	Population.y	name.y	Parent.y	Count.y	ParentCount.y	METRIC.y	GATE.y	QC.y	Panel.y	PDF.y	FlaggedSample.y	MACHINE.y	TEMPLATE_FILE_USED	RealAutoParent.y	Manual.y	Merge.y	freq_lymph.y	freqParent.y	freq_PBMC.y	TEMPLATE_FILE_USEDTRIM
2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcsActivatedCD4panel1CD4LSRactivated helper Tcells (CD4+ HLA-DR+)	ActivatedCD4	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD4	353	26534	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_15/gate_plots25.pdf	FALSE	LSR	Tcells	activated helper Tcells (CD4+ HLA-DR+)	ActivatedCD4_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.00184806110642843	0.00594416192368572	NA	ActivatedCD4	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD4	451	26469	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_21full_SS_SubCD8_SCD14//FULL/openCytoBatch_0/gate_plots1.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Tcells	activated helper Tcells (CD4+ HLA-DR+)	ActivatedCD4_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.00236452478818891	0.00761309925725861	NA	lymph.LSR.f
2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcsActivatedCD4panel1CD4LSRactivated helper Tcells (CD4+ HLA-DR+)	ActivatedCD4	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD4	451	26469	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_0/gate_plots1.pdf	FALSE	LSR	Tcells	activated helper Tcells (CD4+ HLA-DR+)	ActivatedCD4_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.00236452478818891	0.00761309925725861	NA	ActivatedCD4	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD4	353	26534	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_21full_SS_SubCD8_SCD14//FULL/openCytoBatch_15/gate_plots67.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Tcells	activated helper Tcells (CD4+ HLA-DR+)	ActivatedCD4_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.00184806110642843	0.00594416192368572	NA	lymph.LSR.f
2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcsActivatedCD8panel1CD8LSRactivated cytotoxic Tcells (CD8+ HLA-DR+)	ActivatedCD8	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD8	1046	20910	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_15/gate_plots25.pdf	FALSE	LSR	CD8	activated cytotoxic Tcells (CD8+ HLA-DR+)	ActivatedCD8_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.0054761244116831	0.0500239120038259	NA	ActivatedCD8	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD8	1044	20866	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_21full_SS_SubCD8_SCD14//FULL/openCytoBatch_0/gate_plots1.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	CD8	activated cytotoxic Tcells (CD8+ HLA-DR+)	ActivatedCD8_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.0054735340994883	0.0500335473976804	NA	lymph.LSR.f
2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcsActivatedCD8panel1CD8LSRactivated cytotoxic Tcells (CD8+ HLA-DR+)	ActivatedCD8	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD8	1044	20866	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_0/gate_plots1.pdf	FALSE	LSR	CD8	activated cytotoxic Tcells (CD8+ HLA-DR+)	ActivatedCD8_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.0054735340994883	0.0500335473976804	NA	ActivatedCD8	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD8	1046	20910	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_21full_SS_SubCD8_SCD14//FULL/openCytoBatch_15/gate_plots67.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	CD8	activated cytotoxic Tcells (CD8+ HLA-DR+)	ActivatedCD8_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.0054761244116831	0.0500239120038259	NA	lymph.LSR.f
2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcsBcellspanel1PE-A-LSRB cells (CD3- CD19+)	Bcells	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	PE-A-	4332	115800	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_15/gate_plots25.pdf	FALSE	LSR	PE-A-	B cells (CD3- CD19+)	Bcells_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.0226793221332803	0.0374093264248705	NA	Bcells	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	PE-A-	4315	115542	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_21full_SS_SubCD8_SCD14//FULL/openCytoBatch_0/gate_plots1.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	PE-A-	B cells (CD3- CD19+)	Bcells_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.0226228923748008	0.0373457270949092	NA	lymph.LSR.f
2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcsBcellspanel1PE-A-LSRB cells (CD3- CD19+)	Bcells	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	PE-A-	4315	115542	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_0/gate_plots1.pdf	FALSE	LSR	PE-A-	B cells (CD3- CD19+)	Bcells_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.0226228923748008	0.0373457270949092	NA	Bcells	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	PE-A-	4332	115800	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_21full_SS_SubCD8_SCD14//FULL/openCytoBatch_15/gate_plots67.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	PE-A-	B cells (CD3- CD19+)	Bcells_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.0226793221332803	0.0374093264248705	NA	lymph.LSR.f
2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcsCCR7-CD45RA-/CD28-CD27-panel1CD8/CCR7-CD45RA-LSREM3 cytotoxic Tcells (CD27-  CD28-)	CCR7-CD45RA-/CD28-CD27-	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD8/CCR7-CD45RA-	746	1719	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_0/gate_plots1.pdf	FALSE	LSR	CD8/CCR7-CD45RA-	EM3 cytotoxic Tcells (CD27-  CD28-)	CCR7-CD45RA-/CD28-CD27-_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.00391116517070716	0.433973240255963	NA	CCR7-CD45RA-/CD28-CD27-	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD8/CCR7-CD45RA-	747	1719	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_21full_SS_SubCD8_SCD14//FULL/openCytoBatch_15/gate_plots67.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	CD8/CCR7-CD45RA-	EM3 cytotoxic Tcells (CD27-  CD28-)	CCR7-CD45RA-/CD28-CD27-_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.00391076953683296	0.43455497382199	NA	lymph.LSR.f
2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcsCCR7-CD45RA-/CD28-CD27-panel1CD8/CCR7-CD45RA-LSREM3 cytotoxic Tcells (CD27-  CD28-)	CCR7-CD45RA-/CD28-CD27-	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD8/CCR7-CD45RA-	747	1719	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_15/gate_plots25.pdf	FALSE	LSR	CD8/CCR7-CD45RA-	EM3 cytotoxic Tcells (CD27-  CD28-)	CCR7-CD45RA-/CD28-CD27-_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.00391076953683296	0.43455497382199	NA	CCR7-CD45RA-/CD28-CD27-	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD8/CCR7-CD45RA-	746	1719	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_21full_SS_SubCD8_SCD14//FULL/openCytoBatch_0/gate_plots1.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	CD8/CCR7-CD45RA-	EM3 cytotoxic Tcells (CD27-  CD28-)	CCR7-CD45RA-/CD28-CD27-_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.00391116517070716	0.433973240255963	NA	lymph.LSR.f
2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcsCCR7-CD45RA-/CD28+CD27+panel1CD8/CCR7-CD45RA-LSREM1 cytotoxic Tcells (CD27+  CD28+)	CCR7-CD45RA-/CD28+CD27+	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD8/CCR7-CD45RA-	627	1719	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_0/gate_plots1.pdf	FALSE	LSR	CD8/CCR7-CD45RA-	EM1 cytotoxic Tcells (CD27+  CD28+)	CCR7-CD45RA-/CD28+CD27+_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.00328726616894556	0.364746945898778	NA	CCR7-CD45RA-/CD28+CD27+	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD8/CCR7-CD45RA-	626	1719	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_21full_SS_SubCD8_SCD14//FULL/openCytoBatch_15/gate_plots67.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	CD8/CCR7-CD45RA-	EM1 cytotoxic Tcells (CD27+  CD28+)	CCR7-CD45RA-/CD28+CD27+_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.00327729816607421	0.364165212332752	NA	lymph.LSR.f
2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcsCCR7-CD45RA-/CD28+CD27+panel1CD8/CCR7-CD45RA-LSREM1 cytotoxic Tcells (CD27+  CD28+)	CCR7-CD45RA-/CD28+CD27+	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD8/CCR7-CD45RA-	626	1719	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_15/gate_plots25.pdf	FALSE	LSR	CD8/CCR7-CD45RA-	EM1 cytotoxic Tcells (CD27+  CD28+)	CCR7-CD45RA-/CD28+CD27+_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.00327729816607421	0.364165212332752	NA	CCR7-CD45RA-/CD28+CD27+	2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	CD8/CCR7-CD45RA-	627	1719	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_21full_SS_SubCD8_SCD14//FULL/openCytoBatch_0/gate_plots1.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	CD8/CCR7-CD45RA-	EM1 cytotoxic Tcells (CD27+  CD28+)	CCR7-CD45RA-/CD28+CD27+_2016-01-08_PANEL 1_HB-appsettingsreset_Group one_Ctl-A_002.fcs	0.00328726616894556	0.364746945898778	NA	lymph.LSR.f
