BIN	MACHINE.x	MEDIAN_SAMPLE_CV	BIN_POPULATION	POPULATION	PANEL	MANUSCRIPT_RANGE
(0,5e+03]	FORTESSA	2.32661628619068	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(5e+03,1e+04]	FORTESSA	1.42978640782195	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(1e+04,1.5e+04]	FORTESSA	0.97228647528457	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(1.5e+04,2e+04]	FORTESSA	0.773824243198415	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(2e+04,3e+04]	FORTESSA	0.723570941792177	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(3e+04,4e+04]	FORTESSA	0.580460307552456	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(4e+04,5e+04]	FORTESSA	0.49047519289891	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(5e+04,6e+04]	FORTESSA	0.508258330445514	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(6e+04,7e+04]	FORTESSA	0.43711733726523	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(7e+04,8e+04]	FORTESSA	0.338123673406956	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(8e+04,9e+04]	FORTESSA	0.424170030691717	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(9e+04,1e+05]	FORTESSA	0.348333747357139	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(1e+05,1.1e+05]	FORTESSA	0.285579377794794	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(1.1e+05,1.2e+05]	FORTESSA	0.356005979645151	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(1.2e+05,1.3e+05]	FORTESSA	0.297544090362275	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(1.3e+05,1.4e+05]	FORTESSA	0.133303501705908	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(1.4e+05,1.5e+05]	FORTESSA	0.207047157228169	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(1.5e+05,1.6e+05]	FORTESSA	0.208931671823763	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(1.6e+05,1.7e+05]	FORTESSA	0.272710276237733	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(1.7e+05,1.8e+05]	FORTESSA	0.182012157070568	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(1.8e+05,1.9e+05]	FORTESSA	0.0778988849254393	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(1.9e+05,2e+05]	FORTESSA	0.215589134291346	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(2e+05,6e+05]	FORTESSA	0.160688260914267	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(0,5e+03]	LSR	2.71510331868525	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(5e+03,1e+04]	LSR	1.10291926358203	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(1e+04,1.5e+04]	LSR	0.781631050034741	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(1.5e+04,2e+04]	LSR	0.636463857734814	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(2e+04,3e+04]	LSR	0.632932118193004	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(3e+04,4e+04]	LSR	0.547267361021274	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(4e+04,5e+04]	LSR	0.427371019972635	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(5e+04,6e+04]	LSR	0.454888828219675	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
(6e+04,7e+04]	LSR	0.328790304482979	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE
